ST. Anthonys Distributor (2024 -2025),,,,
ORANGE MAIN LOCATION,,,,
Location Summary,,,,
1-Jan-26 to 1-Jun-26,,,,
,ORANGE MAIN LOCATION,,,
,ST. Anthonys Distributor (2024 -2025),,,
Particulars,1-Jan-26 to 1-Jun-26,,,
,Closing Balance,,,
,Quantity,Rate,Value,
187-1057 (ORANGE 14W SURFACE MO DISTRIBUTION BOX),27 NOS,2181.31,58895.28,
187-1058 (ORANGE 14W SUNK MO DISTRIBUTION BOX),32 NOS,2204.20,70534.40,
187-1059 (ORANGE 18W SURFACE MO DISTRIBUTION BOX),8 NOS,2842.16,22737.27,
187-1060 (ORANGE 18W SUNK DISTRIBUTION BOX),15 NOS,2668.69,40030.36,
187-1062 (ORANGE 28W SUNK DISTRIBUTION BOX),7 NOS,7557.02,52899.12,
187-1072 (ORANGE PVC INSULATION TAPE BLACK 10M),881 NOS,118.40,104306.55,
BATTREY,1685 NOS,81.00,136477.51,
"255-1001 (ORANGE BATTREY 1.5V AA,LR6 EHD 2P-B)",736 NOS,80.98,59599.48,
"255-1011 (ORANGE BATTREY 1.5V AA,R6P SP-B-CARBON SIN)",68 NOS,44.80,3046.27,
"255-1101 (ORANGE BATTREY 1.5V AAA,LR03 EHD 2P-B)",881 NOS,83.80,73831.76,
BUS BAR BOXES,13 NOS,30768.65,399992.51,
222-1152 (ORANGE PC 3R 14W 400X850X200 DB W/BB),,,,
222-1153 (ORANGE PC 3R18W 450X850X200 DB W/BB),10 NOS,31305.25,313052.52,
222-1155 (ORANGE PC 2R 18W 450X700X200 DB W/BB),3 NOS,28980.00,86939.99,
BUS BAR BOXES-UDP,1 NOS,36437.50,36437.50,
222-1156 (ORANGE PC 4R 14W 400X1000X200 DB W/BB),1 NOS,36437.50,36437.50,
CABLE,508 NOS,9613.65,4883735.05,
189-1013 (ORANGE 1/1.13 SS BLUE 50M),1 NOS,2452.82,2452.82,
189-1015 (ORANGE 1/1.13 BLUE 100M (1X1MM2)),6 NOS,4878.66,29271.93,
189-1017 (ORENGE 1/1.13MM SS BLUE 500M),,,,
189-1026 (ORANGE 1/1.13 SS BROWN 50M),,,,
189-1028 (ORANGE 1/1.13 BROWN 100M (1X1MM2)),58 NOS,4926.68,285747.32,
189-1030 (ORANGE 1/1.13 SS BROWN 500M),,,,
189-1064 (ORANGE 1/1.13MM EARTH WIRE GREEN 100M),3 NOS,4884.97,14654.90,
190-1029 (ORANGE 7/0.53MM SS BLUE 100 M),-1 NOS,9041.88,-9041.88,
190-1030 (ORANGE 7/0.53MM SS BLUE 500M),1 NOS,56368.99,56368.99,
190-1040 (ORANGE 7/0.53MM SS BROWN 100 M),,,,
190-1041 (ORANGE 7/0.53MM SS BROWN 500M),,,,
190-1051 (ORANGE 7/0.53MM FLAT TWIN GREY 50 M),,,,
